stateid,state,abbrev,democrat,republican,electoral_votes
00,National,NA,48.3,47.3,0
01,Alabama,AL,36.6,62,9
02,Alaska,AK,43,51,3
04,Arizona,AZ,47.4,49,11
05,Arkansas,AR,40,55,6
06,California,CA,59,34.3,54
08,Colorado,CO,53,42,10
09,Connecticut,CT,57,41,7
10,Delaware,DE,55,36.5,3
11,District of Columbia,DC,90.8,5.8,3
12,Florida,FL,44.8,51.2,30
13,Georgia,GA,47.4,49.1,16
15,Hawaii,HI,63.7,29.5,4
16,Idaho,ID,33.1,63.9,4
17,Illinois,IL,57.5,40.1,19
18,Indiana,IN,39.5,56,11
19,Iowa,IA,44,49,6
20,Kansas,KS,41.5,56.1,6
21,Kentucky,KY,36.2,62.1,8
22,Louisiana,LA,39.9,58.5,8
23,Maine,ME,48,41,2
58,Maine Dist. 1,ME-1,56,33,1
59,Maine Dist. 2,ME-2,40,49,1
24,Maryland,MD,61.3,33,10
25,Massachusetts,MA,60.5,32,11
26,Michigan,MI,47.8,47.6,15
27,Minnesota,MN,49.5,44,10
28,Mississippi,MS,41.1,57.6,6
29,Missouri,MO,42,53.5,10
30,Montana,MT,39.5,57.5,4
31,Nebraska,NE,40,55,4
57,Nebraska Dist. 2,NE-2,54,42,1
32,Nevada,NV,47.2,48.3,6
33,New Hampshire,NH,50.3,44,4
34,New Jersey,NJ,52,40,14
35,New Mexico,NM,49.7,42.7,5
36,New York,NY,56,39.5,28
37,North Carolina,NC,48,48.3,16
38,North Dakota,ND,32,59,3
39,Ohio,OH,44.6,51,17
40,Oklahoma,OK,40,56,7
41,Oregon,OR,53,41,8
42,Pennsylvania,PA,48,47.5,19
44,Rhode Island,RI,57,40.5,4
45,South Carolina,SC,42,53.5,9
46,South Dakota,SD,34,60.5,3
47,Tennessee,TN,35,56,11
48,Texas,TX,45.2,51.4,40
49,Utah,UT,38,54,6
50,Vermont,VT,70,29,3
51,Virginia,VA,50,41.3,13
53,Washington,WA,56.3,35.7,12
54,West Virginia,WV,34,61,4
55,Wisconsin,WI,48,48.2,10
56,Wyoming,WY,26.6,69.9,3
